Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
C3_B_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 5.0)	(14.0, 19.0)	(15.0, 67.0)	(16.0, 114.0)	(17.0, 218.0)	(18.0, 374.0)	(19.0, 680.0)	(20.0, 1191.0)	(21.0, 1727.0)	(22.0, 2216.0)	(23.0, 2630.0)	(24.0, 2621.0)	(25.0, 2572.0)	(26.0, 2799.0)	(27.0, 3076.0)	(28.0, 3380.0)	(29.0, 3594.0)	(30.0, 4142.0)	(31.0, 4618.0)	(32.0, 5954.0)	(33.0, 8918.0)	(34.0, 10861.0)	(35.0, 13226.0)	(36.0, 18819.0)	(37.0, 35782.0)	(38.0, 80840.0)	(39.0, 481197.0)	(40.0, 181264.0)			
C3_B_CKDL260002520-1A_2372W3LT4_L5_2	(10.0, 1.0)	(11.0, 3.0)	(12.0, 19.0)	(13.0, 101.0)	(14.0, 387.0)	(15.0, 681.0)	(16.0, 814.0)	(17.0, 700.0)	(18.0, 621.0)	(19.0, 637.0)	(20.0, 696.0)	(21.0, 810.0)	(22.0, 839.0)	(23.0, 940.0)	(24.0, 1047.0)	(25.0, 1298.0)	(26.0, 1389.0)	(27.0, 1631.0)	(28.0, 1782.0)	(29.0, 2113.0)	(30.0, 2594.0)	(31.0, 3046.0)	(32.0, 3870.0)	(33.0, 4828.0)	(34.0, 6377.0)	(35.0, 9191.0)	(36.0, 14437.0)	(37.0, 30582.0)	(38.0, 78610.0)	(39.0, 505876.0)	(40.0, 196984.0)
C3_B_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 22.0)	(14.0, 142.0)	(15.0, 424.0)	(16.0, 1151.0)	(17.0, 4148.0)	(18.0, 15673.0)	(19.0, 37905.0)	(20.0, 60637.0)	(21.0, 90725.0)	(22.0, 104599.0)	(23.0, 88822.0)	(24.0, 63358.0)	(25.0, 46864.0)	(26.0, 43017.0)	(27.0, 42745.0)	(28.0, 44744.0)	(29.0, 50841.0)	(30.0, 63624.0)	(31.0, 81931.0)	(32.0, 133184.0)	(33.0, 195672.0)	(34.0, 241825.0)	(35.0, 342124.0)	(36.0, 545101.0)	(37.0, 1115327.0)	(38.0, 2707359.0)	(39.0, 13217454.0)	(40.0, 2828280.0)			
C3_B_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 1.0)	(11.0, 21.0)	(12.0, 197.0)	(13.0, 1357.0)	(14.0, 4635.0)	(15.0, 7812.0)	(16.0, 8742.0)	(17.0, 8672.0)	(18.0, 8694.0)	(19.0, 9261.0)	(20.0, 10528.0)	(21.0, 12066.0)	(22.0, 13762.0)	(23.0, 15752.0)	(24.0, 17809.0)	(25.0, 21139.0)	(26.0, 24466.0)	(27.0, 29486.0)	(28.0, 36595.0)	(29.0, 44035.0)	(30.0, 58160.0)	(31.0, 71483.0)	(32.0, 99071.0)	(33.0, 130309.0)	(34.0, 188509.0)	(35.0, 290811.0)	(36.0, 512100.0)	(37.0, 1128998.0)	(38.0, 2927163.0)	(39.0, 13729340.0)	(40.0, 2756724.0)
C3_C_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 1.0)	(14.0, 17.0)	(15.0, 42.0)	(16.0, 94.0)	(17.0, 189.0)	(18.0, 379.0)	(19.0, 706.0)	(20.0, 1328.0)	(21.0, 2011.0)	(22.0, 2637.0)	(23.0, 2903.0)	(24.0, 2957.0)	(25.0, 2938.0)	(26.0, 2985.0)	(27.0, 3280.0)	(28.0, 3518.0)	(29.0, 4050.0)	(30.0, 4406.0)	(31.0, 4843.0)	(32.0, 5694.0)	(33.0, 7334.0)	(34.0, 10164.0)	(35.0, 14883.0)	(36.0, 21311.0)	(37.0, 39767.0)	(38.0, 88654.0)	(39.0, 537892.0)	(40.0, 216315.0)			
C3_C_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 3.0)	(12.0, 40.0)	(13.0, 137.0)	(14.0, 422.0)	(15.0, 663.0)	(16.0, 821.0)	(17.0, 719.0)	(18.0, 736.0)	(19.0, 733.0)	(20.0, 804.0)	(21.0, 889.0)	(22.0, 944.0)	(23.0, 1084.0)	(24.0, 1230.0)	(25.0, 1385.0)	(26.0, 1567.0)	(27.0, 1793.0)	(28.0, 2117.0)	(29.0, 2494.0)	(30.0, 3038.0)	(31.0, 3714.0)	(32.0, 4758.0)	(33.0, 5835.0)	(34.0, 7943.0)	(35.0, 11570.0)	(36.0, 18976.0)	(37.0, 38767.0)	(38.0, 93292.0)	(39.0, 559588.0)	(40.0, 215236.0)	
C3_C_CKDL260002520-1A_23757VLT4_L4_1	(12.0, 1.0)	(13.0, 23.0)	(14.0, 121.0)	(15.0, 434.0)	(16.0, 1267.0)	(17.0, 4774.0)	(18.0, 18521.0)	(19.0, 44512.0)	(20.0, 70589.0)	(21.0, 111905.0)	(22.0, 130903.0)	(23.0, 110316.0)	(24.0, 76259.0)	(25.0, 53912.0)	(26.0, 48911.0)	(27.0, 48433.0)	(28.0, 51235.0)	(29.0, 58818.0)	(30.0, 72886.0)	(31.0, 90241.0)	(32.0, 127238.0)	(33.0, 197862.0)	(34.0, 292383.0)	(35.0, 406157.0)	(36.0, 636219.0)	(37.0, 1284081.0)	(38.0, 3133500.0)	(39.0, 15943992.0)	(40.0, 3858419.0)		
C3_C_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 1.0)	(11.0, 29.0)	(12.0, 370.0)	(13.0, 2179.0)	(14.0, 6787.0)	(15.0, 11690.0)	(16.0, 13269.0)	(17.0, 12461.0)	(18.0, 12360.0)	(19.0, 12868.0)	(20.0, 14204.0)	(21.0, 15388.0)	(22.0, 17651.0)	(23.0, 19873.0)	(24.0, 22718.0)	(25.0, 27104.0)	(26.0, 30948.0)	(27.0, 37700.0)	(28.0, 48026.0)	(29.0, 59851.0)	(30.0, 80574.0)	(31.0, 103457.0)	(32.0, 145886.0)	(33.0, 195701.0)	(34.0, 284705.0)	(35.0, 420844.0)	(36.0, 699248.0)	(37.0, 1447707.0)	(38.0, 3607867.0)	(39.0, 16325193.0)	(40.0, 3197253.0)
C3_D_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 3.0)	(14.0, 33.0)	(15.0, 87.0)	(16.0, 134.0)	(17.0, 274.0)	(18.0, 574.0)	(19.0, 1019.0)	(20.0, 1818.0)	(21.0, 2627.0)	(22.0, 3603.0)	(23.0, 4206.0)	(24.0, 4294.0)	(25.0, 4199.0)	(26.0, 4259.0)	(27.0, 4732.0)	(28.0, 5105.0)	(29.0, 5592.0)	(30.0, 6383.0)	(31.0, 6976.0)	(32.0, 9597.0)	(33.0, 13140.0)	(34.0, 15658.0)	(35.0, 20199.0)	(36.0, 30668.0)	(37.0, 58798.0)	(38.0, 135932.0)	(39.0, 798848.0)	(40.0, 263943.0)			
C3_D_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 5.0)	(12.0, 49.0)	(13.0, 195.0)	(14.0, 580.0)	(15.0, 1044.0)	(16.0, 1128.0)	(17.0, 1092.0)	(18.0, 1035.0)	(19.0, 1065.0)	(20.0, 1160.0)	(21.0, 1208.0)	(22.0, 1371.0)	(23.0, 1496.0)	(24.0, 1704.0)	(25.0, 1926.0)	(26.0, 2234.0)	(27.0, 2582.0)	(28.0, 3008.0)	(29.0, 3480.0)	(30.0, 4318.0)	(31.0, 4986.0)	(32.0, 6413.0)	(33.0, 8074.0)	(34.0, 10716.0)	(35.0, 15188.0)	(36.0, 24644.0)	(37.0, 52329.0)	(38.0, 135901.0)	(39.0, 829598.0)	(40.0, 284172.0)	
C3_D_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 15.0)	(14.0, 168.0)	(15.0, 591.0)	(16.0, 1623.0)	(17.0, 6425.0)	(18.0, 25097.0)	(19.0, 59643.0)	(20.0, 96385.0)	(21.0, 152095.0)	(22.0, 178436.0)	(23.0, 149533.0)	(24.0, 103931.0)	(25.0, 74594.0)	(26.0, 68210.0)	(27.0, 68022.0)	(28.0, 72368.0)	(29.0, 83392.0)	(30.0, 105436.0)	(31.0, 135899.0)	(32.0, 214159.0)	(33.0, 298837.0)	(34.0, 390249.0)	(35.0, 574945.0)	(36.0, 932015.0)	(37.0, 1932347.0)	(38.0, 4772989.0)	(39.0, 22356031.0)	(40.0, 4296081.0)			
C3_D_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 2.0)	(11.0, 27.0)	(12.0, 343.0)	(13.0, 2444.0)	(14.0, 7808.0)	(15.0, 13633.0)	(16.0, 15488.0)	(17.0, 15363.0)	(18.0, 15173.0)	(19.0, 16056.0)	(20.0, 17989.0)	(21.0, 20262.0)	(22.0, 22997.0)	(23.0, 27079.0)	(24.0, 30462.0)	(25.0, 36877.0)	(26.0, 42340.0)	(27.0, 51772.0)	(28.0, 64563.0)	(29.0, 78689.0)	(30.0, 104298.0)	(31.0, 130372.0)	(32.0, 181043.0)	(33.0, 238806.0)	(34.0, 346764.0)	(35.0, 537959.0)	(36.0, 945420.0)	(37.0, 2069397.0)	(38.0, 5315916.0)	(39.0, 22877402.0)	(40.0, 3922772.0)
ch_1A_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 3.0)	(14.0, 23.0)	(15.0, 67.0)	(16.0, 107.0)	(17.0, 226.0)	(18.0, 425.0)	(19.0, 789.0)	(20.0, 1469.0)	(21.0, 2193.0)	(22.0, 2850.0)	(23.0, 3411.0)	(24.0, 3370.0)	(25.0, 3441.0)	(26.0, 3479.0)	(27.0, 3829.0)	(28.0, 4346.0)	(29.0, 4550.0)	(30.0, 5017.0)	(31.0, 5682.0)	(32.0, 7449.0)	(33.0, 10919.0)	(34.0, 12427.0)	(35.0, 15334.0)	(36.0, 22332.0)	(37.0, 43859.0)	(38.0, 99369.0)	(39.0, 600896.0)	(40.0, 219038.0)			
ch_1A_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 8.0)	(12.0, 34.0)	(13.0, 156.0)	(14.0, 437.0)	(15.0, 751.0)	(16.0, 878.0)	(17.0, 811.0)	(18.0, 774.0)	(19.0, 851.0)	(20.0, 953.0)	(21.0, 950.0)	(22.0, 1091.0)	(23.0, 1195.0)	(24.0, 1377.0)	(25.0, 1536.0)	(26.0, 1737.0)	(27.0, 1962.0)	(28.0, 2353.0)	(29.0, 2600.0)	(30.0, 3244.0)	(31.0, 3685.0)	(32.0, 4713.0)	(33.0, 5872.0)	(34.0, 7932.0)	(35.0, 11637.0)	(36.0, 18507.0)	(37.0, 39520.0)	(38.0, 101673.0)	(39.0, 640502.0)	(40.0, 219161.0)	
ch_1A_CKDL260002520-1A_23757VLT4_L4_1	(12.0, 1.0)	(13.0, 12.0)	(14.0, 140.0)	(15.0, 521.0)	(16.0, 1366.0)	(17.0, 5332.0)	(18.0, 19875.0)	(19.0, 48620.0)	(20.0, 79350.0)	(21.0, 126012.0)	(22.0, 149767.0)	(23.0, 125912.0)	(24.0, 88445.0)	(25.0, 61574.0)	(26.0, 53524.0)	(27.0, 52515.0)	(28.0, 54238.0)	(29.0, 61442.0)	(30.0, 75427.0)	(31.0, 97150.0)	(32.0, 162156.0)	(33.0, 238033.0)	(34.0, 288848.0)	(35.0, 414496.0)	(36.0, 667463.0)	(37.0, 1385922.0)	(38.0, 3423083.0)	(39.0, 16550287.0)	(40.0, 3370330.0)		
ch_1A_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 4.0)	(11.0, 25.0)	(12.0, 313.0)	(13.0, 2042.0)	(14.0, 6681.0)	(15.0, 11353.0)	(16.0, 13005.0)	(17.0, 12320.0)	(18.0, 12413.0)	(19.0, 13013.0)	(20.0, 14783.0)	(21.0, 16013.0)	(22.0, 18503.0)	(23.0, 21177.0)	(24.0, 24134.0)	(25.0, 28174.0)	(26.0, 32825.0)	(27.0, 39411.0)	(28.0, 48127.0)	(29.0, 57358.0)	(30.0, 75349.0)	(31.0, 93147.0)	(32.0, 128524.0)	(33.0, 169826.0)	(34.0, 244842.0)	(35.0, 379811.0)	(36.0, 670256.0)	(37.0, 1490589.0)	(38.0, 3867714.0)	(39.0, 17126597.0)	(40.0, 2983512.0)
ch_1B_CKDL260002520-1A_2372W3LT4_L5_1	(12.0, 1.0)	(13.0, 6.0)	(14.0, 26.0)	(15.0, 66.0)	(16.0, 105.0)	(17.0, 181.0)	(18.0, 356.0)	(19.0, 591.0)	(20.0, 1099.0)	(21.0, 1749.0)	(22.0, 2658.0)	(23.0, 3186.0)	(24.0, 3341.0)	(25.0, 3373.0)	(26.0, 3204.0)	(27.0, 3592.0)	(28.0, 3838.0)	(29.0, 4377.0)	(30.0, 4727.0)	(31.0, 5147.0)	(32.0, 6440.0)	(33.0, 8361.0)	(34.0, 12061.0)	(35.0, 18132.0)	(36.0, 28846.0)	(37.0, 55141.0)	(38.0, 125019.0)	(39.0, 587842.0)	(40.0, 152983.0)		
ch_1B_CKDL260002520-1A_2372W3LT4_L5_2	(10.0, 3.0)	(11.0, 20.0)	(12.0, 94.0)	(13.0, 357.0)	(14.0, 775.0)	(15.0, 1208.0)	(16.0, 1309.0)	(17.0, 1185.0)	(18.0, 1090.0)	(19.0, 1119.0)	(20.0, 1102.0)	(21.0, 1222.0)	(22.0, 1276.0)	(23.0, 1386.0)	(24.0, 1522.0)	(25.0, 1742.0)	(26.0, 1925.0)	(27.0, 2206.0)	(28.0, 2447.0)	(29.0, 2745.0)	(30.0, 3458.0)	(31.0, 3834.0)	(32.0, 4958.0)	(33.0, 6605.0)	(34.0, 8975.0)	(35.0, 13586.0)	(36.0, 22966.0)	(37.0, 51907.0)	(38.0, 134095.0)	(39.0, 615818.0)	(40.0, 145513.0)
ch_1B_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 13.0)	(14.0, 82.0)	(15.0, 343.0)	(16.0, 976.0)	(17.0, 3824.0)	(18.0, 14164.0)	(19.0, 34325.0)	(20.0, 67500.0)	(21.0, 135025.0)	(22.0, 170083.0)	(23.0, 145069.0)	(24.0, 98089.0)	(25.0, 65862.0)	(26.0, 54484.0)	(27.0, 52211.0)	(28.0, 56578.0)	(29.0, 66729.0)	(30.0, 86046.0)	(31.0, 108659.0)	(32.0, 164211.0)	(33.0, 262892.0)	(34.0, 425853.0)	(35.0, 621539.0)	(36.0, 997614.0)	(37.0, 2059309.0)	(38.0, 4912122.0)	(39.0, 17722458.0)	(40.0, 2645294.0)			
ch_1B_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 2.0)	(11.0, 190.0)	(12.0, 1498.0)	(13.0, 6658.0)	(14.0, 17537.0)	(15.0, 28198.0)	(16.0, 30278.0)	(17.0, 27476.0)	(18.0, 25391.0)	(19.0, 24192.0)	(20.0, 25306.0)	(21.0, 26761.0)	(22.0, 29001.0)	(23.0, 32294.0)	(24.0, 35433.0)	(25.0, 40501.0)	(26.0, 46554.0)	(27.0, 55349.0)	(28.0, 69085.0)	(29.0, 82793.0)	(30.0, 110725.0)	(31.0, 138240.0)	(32.0, 196369.0)	(33.0, 264754.0)	(34.0, 401940.0)	(35.0, 643444.0)	(36.0, 1129665.0)	(37.0, 2430112.0)	(38.0, 5751138.0)	(39.0, 17249668.0)	(40.0, 2050802.0)
ch_1C_CKDL260002520-1A_2372W3LT4_L5_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 18.0)	(15.0, 63.0)	(16.0, 139.0)	(17.0, 192.0)	(18.0, 384.0)	(19.0, 749.0)	(20.0, 1228.0)	(21.0, 1855.0)	(22.0, 2815.0)	(23.0, 3278.0)	(24.0, 3291.0)	(25.0, 3212.0)	(26.0, 3147.0)	(27.0, 3380.0)	(28.0, 3659.0)	(29.0, 3931.0)	(30.0, 4377.0)	(31.0, 4688.0)	(32.0, 5606.0)	(33.0, 7268.0)	(34.0, 9568.0)	(35.0, 12474.0)	(36.0, 18698.0)	(37.0, 37046.0)	(38.0, 83153.0)	(39.0, 489710.0)	(40.0, 179078.0)		
ch_1C_CKDL260002520-1A_2372W3LT4_L5_2	(10.0, 2.0)	(11.0, 5.0)	(12.0, 33.0)	(13.0, 161.0)	(14.0, 479.0)	(15.0, 751.0)	(16.0, 837.0)	(17.0, 775.0)	(18.0, 704.0)	(19.0, 708.0)	(20.0, 768.0)	(21.0, 856.0)	(22.0, 913.0)	(23.0, 1050.0)	(24.0, 1134.0)	(25.0, 1362.0)	(26.0, 1474.0)	(27.0, 1656.0)	(28.0, 1923.0)	(29.0, 2233.0)	(30.0, 2709.0)	(31.0, 3065.0)	(32.0, 3956.0)	(33.0, 5150.0)	(34.0, 6880.0)	(35.0, 10082.0)	(36.0, 16277.0)	(37.0, 34301.0)	(38.0, 86325.0)	(39.0, 511435.0)	(40.0, 185005.0)
ch_1C_CKDL260002520-1A_23757VLT4_L4_1	(12.0, 2.0)	(13.0, 19.0)	(14.0, 144.0)	(15.0, 512.0)	(16.0, 1386.0)	(17.0, 5126.0)	(18.0, 17757.0)	(19.0, 40255.0)	(20.0, 68997.0)	(21.0, 122934.0)	(22.0, 150556.0)	(23.0, 125220.0)	(24.0, 84383.0)	(25.0, 56507.0)	(26.0, 48732.0)	(27.0, 46562.0)	(28.0, 49132.0)	(29.0, 55547.0)	(30.0, 67464.0)	(31.0, 81807.0)	(32.0, 117665.0)	(33.0, 175709.0)	(34.0, 242724.0)	(35.0, 360968.0)	(36.0, 584632.0)	(37.0, 1204705.0)	(38.0, 2892814.0)	(39.0, 13791435.0)	(40.0, 2924530.0)		
ch_1C_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 1.0)	(11.0, 24.0)	(12.0, 304.0)	(13.0, 1864.0)	(14.0, 6212.0)	(15.0, 10951.0)	(16.0, 12636.0)	(17.0, 12055.0)	(18.0, 11941.0)	(19.0, 12557.0)	(20.0, 13828.0)	(21.0, 15275.0)	(22.0, 16960.0)	(23.0, 19642.0)	(24.0, 22072.0)	(25.0, 26123.0)	(26.0, 30079.0)	(27.0, 35535.0)	(28.0, 43983.0)	(29.0, 52203.0)	(30.0, 68286.0)	(31.0, 83905.0)	(32.0, 116132.0)	(33.0, 152808.0)	(34.0, 222064.0)	(35.0, 344311.0)	(36.0, 599054.0)	(37.0, 1310480.0)	(38.0, 3284734.0)	(39.0, 14134293.0)	(40.0, 2657912.0)
ch_1D_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 5.0)	(14.0, 30.0)	(15.0, 69.0)	(16.0, 96.0)	(17.0, 162.0)	(18.0, 318.0)	(19.0, 622.0)	(20.0, 1023.0)	(21.0, 1699.0)	(22.0, 2549.0)	(23.0, 2926.0)	(24.0, 2929.0)	(25.0, 2884.0)	(26.0, 2808.0)	(27.0, 3172.0)	(28.0, 3283.0)	(29.0, 3572.0)	(30.0, 3930.0)	(31.0, 4026.0)	(32.0, 4763.0)	(33.0, 5674.0)	(34.0, 7659.0)	(35.0, 11133.0)	(36.0, 16961.0)	(37.0, 34517.0)	(38.0, 80705.0)	(39.0, 448255.0)	(40.0, 135832.0)			
ch_1D_CKDL260002520-1A_2372W3LT4_L5_2	(10.0, 1.0)	(11.0, 5.0)	(12.0, 25.0)	(13.0, 100.0)	(14.0, 389.0)	(15.0, 642.0)	(16.0, 722.0)	(17.0, 644.0)	(18.0, 564.0)	(19.0, 538.0)	(20.0, 565.0)	(21.0, 637.0)	(22.0, 719.0)	(23.0, 867.0)	(24.0, 860.0)	(25.0, 1059.0)	(26.0, 1167.0)	(27.0, 1301.0)	(28.0, 1603.0)	(29.0, 1757.0)	(30.0, 2129.0)	(31.0, 2587.0)	(32.0, 3293.0)	(33.0, 4289.0)	(34.0, 5587.0)	(35.0, 8251.0)	(36.0, 13460.0)	(37.0, 29519.0)	(38.0, 77655.0)	(39.0, 466023.0)	(40.0, 154644.0)
ch_1D_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 12.0)	(14.0, 86.0)	(15.0, 287.0)	(16.0, 1013.0)	(17.0, 4215.0)	(18.0, 15733.0)	(19.0, 35018.0)	(20.0, 61915.0)	(21.0, 117474.0)	(22.0, 146054.0)	(23.0, 123334.0)	(24.0, 84499.0)	(25.0, 54998.0)	(26.0, 43991.0)	(27.0, 40711.0)	(28.0, 40928.0)	(29.0, 46436.0)	(30.0, 55469.0)	(31.0, 66271.0)	(32.0, 92431.0)	(33.0, 135509.0)	(34.0, 210496.0)	(35.0, 323171.0)	(36.0, 534763.0)	(37.0, 1139435.0)	(38.0, 2831228.0)	(39.0, 12390699.0)	(40.0, 2225927.0)			
ch_1D_CKDL260002520-1A_23757VLT4_L4_2	(11.0, 16.0)	(12.0, 252.0)	(13.0, 1509.0)	(14.0, 4881.0)	(15.0, 8475.0)	(16.0, 9521.0)	(17.0, 9302.0)	(18.0, 8817.0)	(19.0, 9136.0)	(20.0, 10242.0)	(21.0, 11447.0)	(22.0, 12928.0)	(23.0, 14817.0)	(24.0, 16724.0)	(25.0, 19587.0)	(26.0, 23025.0)	(27.0, 27609.0)	(28.0, 34234.0)	(29.0, 41059.0)	(30.0, 53822.0)	(31.0, 67088.0)	(32.0, 94342.0)	(33.0, 126756.0)	(34.0, 184906.0)	(35.0, 292361.0)	(36.0, 523139.0)	(37.0, 1192859.0)	(38.0, 3087220.0)	(39.0, 12800134.0)	(40.0, 2135895.0)	
ch_2A_CKDL260002520-1A_2372W3LT4_L5_1	(14.0, 11.0)	(15.0, 45.0)	(16.0, 97.0)	(17.0, 169.0)	(18.0, 348.0)	(19.0, 701.0)	(20.0, 1156.0)	(21.0, 1758.0)	(22.0, 2289.0)	(23.0, 2569.0)	(24.0, 2697.0)	(25.0, 2523.0)	(26.0, 2696.0)	(27.0, 3030.0)	(28.0, 3310.0)	(29.0, 3425.0)	(30.0, 3983.0)	(31.0, 4436.0)	(32.0, 6013.0)	(33.0, 8528.0)	(34.0, 9901.0)	(35.0, 12396.0)	(36.0, 17955.0)	(37.0, 34243.0)	(38.0, 78173.0)	(39.0, 477058.0)	(40.0, 175374.0)				
ch_2A_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 4.0)	(12.0, 17.0)	(13.0, 110.0)	(14.0, 358.0)	(15.0, 645.0)	(16.0, 762.0)	(17.0, 744.0)	(18.0, 716.0)	(19.0, 686.0)	(20.0, 779.0)	(21.0, 813.0)	(22.0, 906.0)	(23.0, 1093.0)	(24.0, 1141.0)	(25.0, 1314.0)	(26.0, 1489.0)	(27.0, 1666.0)	(28.0, 1985.0)	(29.0, 2286.0)	(30.0, 2663.0)	(31.0, 3145.0)	(32.0, 3982.0)	(33.0, 4867.0)	(34.0, 6650.0)	(35.0, 9816.0)	(36.0, 15705.0)	(37.0, 32896.0)	(38.0, 82479.0)	(39.0, 496446.0)	(40.0, 178721.0)	
ch_2A_CKDL260002520-1A_23757VLT4_L4_1	(12.0, 2.0)	(13.0, 12.0)	(14.0, 75.0)	(15.0, 271.0)	(16.0, 974.0)	(17.0, 3814.0)	(18.0, 14895.0)	(19.0, 35912.0)	(20.0, 58199.0)	(21.0, 91081.0)	(22.0, 106453.0)	(23.0, 88893.0)	(24.0, 63439.0)	(25.0, 46315.0)	(26.0, 42073.0)	(27.0, 42240.0)	(28.0, 44542.0)	(29.0, 50889.0)	(30.0, 63946.0)	(31.0, 82480.0)	(32.0, 131129.0)	(33.0, 181534.0)	(34.0, 230759.0)	(35.0, 331783.0)	(36.0, 527183.0)	(37.0, 1072772.0)	(38.0, 2611861.0)	(39.0, 12760131.0)	(40.0, 2749422.0)		
ch_2A_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 2.0)	(11.0, 14.0)	(12.0, 162.0)	(13.0, 1355.0)	(14.0, 4578.0)	(15.0, 8241.0)	(16.0, 9948.0)	(17.0, 9850.0)	(18.0, 10045.0)	(19.0, 10528.0)	(20.0, 11887.0)	(21.0, 13269.0)	(22.0, 15175.0)	(23.0, 17632.0)	(24.0, 19641.0)	(25.0, 23424.0)	(26.0, 27265.0)	(27.0, 32485.0)	(28.0, 40327.0)	(29.0, 48629.0)	(30.0, 63638.0)	(31.0, 79361.0)	(32.0, 109612.0)	(33.0, 143692.0)	(34.0, 209056.0)	(35.0, 322542.0)	(36.0, 561752.0)	(37.0, 1216996.0)	(38.0, 3050627.0)	(39.0, 12987038.0)	(40.0, 2384308.0)
ch_2B_CKDL260002520-1A_2372W3LT4_L5_1	(13.0, 5.0)	(14.0, 22.0)	(15.0, 66.0)	(16.0, 75.0)	(17.0, 164.0)	(18.0, 307.0)	(19.0, 482.0)	(20.0, 902.0)	(21.0, 1608.0)	(22.0, 2592.0)	(23.0, 3322.0)	(24.0, 3419.0)	(25.0, 2943.0)	(26.0, 3036.0)	(27.0, 3171.0)	(28.0, 3340.0)	(29.0, 3655.0)	(30.0, 3911.0)	(31.0, 4054.0)	(32.0, 4472.0)	(33.0, 5189.0)	(34.0, 6772.0)	(35.0, 9778.0)	(36.0, 15051.0)	(37.0, 29633.0)	(38.0, 67676.0)	(39.0, 407469.0)	(40.0, 163470.0)			
ch_2B_CKDL260002520-1A_2372W3LT4_L5_2	(11.0, 3.0)	(12.0, 36.0)	(13.0, 150.0)	(14.0, 360.0)	(15.0, 618.0)	(16.0, 694.0)	(17.0, 639.0)	(18.0, 567.0)	(19.0, 546.0)	(20.0, 557.0)	(21.0, 630.0)	(22.0, 687.0)	(23.0, 810.0)	(24.0, 822.0)	(25.0, 972.0)	(26.0, 1042.0)	(27.0, 1282.0)	(28.0, 1436.0)	(29.0, 1616.0)	(30.0, 2090.0)	(31.0, 2444.0)	(32.0, 3185.0)	(33.0, 4039.0)	(34.0, 5385.0)	(35.0, 7924.0)	(36.0, 13228.0)	(37.0, 28547.0)	(38.0, 73078.0)	(39.0, 431698.0)	(40.0, 161499.0)	
ch_2B_CKDL260002520-1A_23757VLT4_L4_1	(13.0, 7.0)	(14.0, 70.0)	(15.0, 279.0)	(16.0, 826.0)	(17.0, 3449.0)	(18.0, 11438.0)	(19.0, 24351.0)	(20.0, 54746.0)	(21.0, 134606.0)	(22.0, 172817.0)	(23.0, 140295.0)	(24.0, 89690.0)	(25.0, 53628.0)	(26.0, 40597.0)	(27.0, 36773.0)	(28.0, 36113.0)	(29.0, 41130.0)	(30.0, 48028.0)	(31.0, 56110.0)	(32.0, 75166.0)	(33.0, 111442.0)	(34.0, 179086.0)	(35.0, 279145.0)	(36.0, 448585.0)	(37.0, 921330.0)	(38.0, 2290135.0)	(39.0, 11484942.0)	(40.0, 2658963.0)			
ch_2B_CKDL260002520-1A_23757VLT4_L4_2	(10.0, 2.0)	(11.0, 29.0)	(12.0, 294.0)	(13.0, 1801.0)	(14.0, 5574.0)	(15.0, 9795.0)	(16.0, 10875.0)	(17.0, 10123.0)	(18.0, 9306.0)	(19.0, 9207.0)	(20.0, 9861.0)	(21.0, 10869.0)	(22.0, 12072.0)	(23.0, 13726.0)	(24.0, 15147.0)	(25.0, 18115.0)	(26.0, 21182.0)	(27.0, 25218.0)	(28.0, 31806.0)	(29.0, 37948.0)	(30.0, 51043.0)	(31.0, 63987.0)	(32.0, 91088.0)	(33.0, 120279.0)	(34.0, 175069.0)	(35.0, 277520.0)	(36.0, 492196.0)	(37.0, 1094451.0)	(38.0, 2727787.0)	(39.0, 11734632.0)	(40.0, 2312745.0)
