	D1	D2	D3	D4	D5	D6	D7	D8	D9
ENSMUSG00000027973	0	0	0	0	0	0	0	0	0
ENSMUSG00000027977	54	32	43	54	74	77	88	74	94
ENSMUSG00000027978	97	92	125	97	102	115	130	88	138
ENSMUSG00000027981	717	607.999	727	431	564.999	529	491.259	383.929	495.999
ENSMUSG00000027983	87	64	73.001	78	120	94.999	142.001	104	151
ENSMUSG00000027984	7352	6489	7247	4653	6177	5652	5997	3976	5995
ENSMUSG00000027985	115	103	131	107	121	136	157.999	94	155.001
ENSMUSG00000027993	177	133	163	352	479	463	499	316	550
ENSMUSG00000027994	2496.999	2241	2470	1543	2197	1999	2184.999	1528	2220
ENSMUSG00000027995	170	163	173	248	313	278	439	272	420
ENSMUSG00000027996	97	81	90	54	65	65	72	54	89
ENSMUSG00000027997	1790	1635	1832	1633	2104.999	1981	2172	1464.001	2138
ENSMUSG00000027998	3901.001	3550.001	3723	2498.999	3344	3422	3360	2190	3404
ENSMUSG00000027999	2747	2528.999	2838	2128	2721	2508	2716	1828	2791
ENSMUSG00000028001	0	0	0	0	0	0	0	0	0
ENSMUSG00000028003	0	0	0	0	0	0	0	0	0
ENSMUSG00000028004	0	0	0	0	0	0	0	0	0
ENSMUSG00000028005	0	0	0	0	0	0	0	0	0
ENSMUSG00000028007	3259	2979	3400	2467	3372	3064	3400	2187.999	3309.999
ENSMUSG00000028008	0	0	0	0	0	0	0	0	0
ENSMUSG00000028009	0	0	0	0	0	0	1	0	0
ENSMUSG00000028010	1344.999	1366	1412	1680.001	2244	2122.999	1970.001	1366	2099
ENSMUSG00000028011	0	0	0	0	0	0	0	0	0
ENSMUSG00000028012	0	0	0	1	0	0	0	0	0
ENSMUSG00000028013	1124.001	1109	1132	1027.999	1317.999	1305	1217.001	764	1334.999
ENSMUSG00000028015	840	845	945	609	766	727	756.999	524	810
ENSMUSG00000028016	1671	1387	1598	919	1313	1217	1204	844	1234
ENSMUSG00000028017	16	12	11	20.001	19.999	24	27	2	17
ENSMUSG00000028018	1195	1030.001	1241.999	1193	1496.999	1383	1566	1022	1625.999
ENSMUSG00000028019	1080	967	1048	743.999	1045	942	1056	732.001	1034
ENSMUSG00000028020	2216	1976	2308	1337	1766.001	1648	1960	1340	2055.001
ENSMUSG00000028023	315	313	381	394.999	499	477.999	603	328	606
ENSMUSG00000028024	0	0	1	3	5	2	2	0	1
ENSMUSG00000028028	211	208	210	187	243.001	246	320	198	325
ENSMUSG00000028029	5472	4939.001	5626	3422	4361	4017.001	4407	2918	4303
ENSMUSG00000028030	680	607	660	632	764	726.001	958	624	985.001
ENSMUSG00000028031	0	0	0	0	0	0	0	0	0
ENSMUSG00000028032	6201	5754	6484.999	4894	6338	5743.001	6237	4440	6083
ENSMUSG00000028033	160	140	168	180.001	259	206	291	207.999	317
ENSMUSG00000028034	8385.001	7455	8685.998	5525	7301.002	6869.999	7054.001	4690	6986
ENSMUSG00000028035	1550.999	1396	1604	1557	2152	2088.001	2777.999	1902	2564
ENSMUSG00000028036	4	2	4	20	27	23	26	16	22
ENSMUSG00000028037	40	28	51	29	33	26	40	20	48
ENSMUSG00000028039	496	489	526	340	376	367	438	314	465
ENSMUSG00000028040	407	378	441	350	433	447	446	298	490
ENSMUSG00000028041	5595.001	5020.999	5613	3948	5289.001	5121.001	5258	3613.999	5409.999
ENSMUSG00000028042	3780.001	3256.001	3569	2242.001	3077	2908	3134.001	2168.001	3231
ENSMUSG00000028044	6449	5771	6532	4693	6324.001	5775	5806	4162	5969
ENSMUSG00000028047	748	764	773	619	864.999	736	760	526	785
ENSMUSG00000028048	2456.999	2072.999	2463	1464.001	1993.001	1927.001	1932	1248	1991
ENSMUSG00000028049	3887.001	3488	4026.999	2440.001	3288	3108.001	2937	2051.999	3129
ENSMUSG00000028051	11	13	13	14	10	17	7	6	6
ENSMUSG00000028053	1730	1585	1721	1565	2004	1906	2188	1592	2321
ENSMUSG00000028057	1886	1726	2022	1288	1684.999	1549.999	1605	1177.999	1692.001
ENSMUSG00000028059	4842.003	4583	4876.999	3351	4703	4367	4424.998	3019.999	4532.001
ENSMUSG00000028060	2565	2231	2555.999	1289	1739	1607	1517.001	962	1518
ENSMUSG00000028062	3819	3445	3807	2443	3284	3044.001	3409	2164.001	3267
ENSMUSG00000028063	23435.001	20699.001	22889.999	18749	25120	23351	25251.001	17036	25050
ENSMUSG00000028064	55	63	61	65	80	75	102	50	91
ENSMUSG00000028066	2618	2492	2803	1831.001	2492	2273	2130.001	1492	2273
ENSMUSG00000028068	2761	2561	2852	2200.999	3012.999	2895	3245	2250	3324.001
ENSMUSG00000028069	89	75	103	280	377	330.001	385	262	376
ENSMUSG00000028070	6849	6287	6997	4166	5662	5281	5637	3858	5449
ENSMUSG00000028071	0	0	0	1	0	0	0	0	1
ENSMUSG00000028072	0	2	0	1	1	0	0	0	0
ENSMUSG00000028073	310	317	328.002	319	451	385	487.999	316	477.001
ENSMUSG00000028076	170.988	125.929	137.783	97.938	121.716	133.73	135.936	60	126.973
ENSMUSG00000028078	564.999	496.999	543.001	429	573.001	507.001	605	451.999	640.999
ENSMUSG00000028080	966	851	886	670	1029	1007	1084.999	734	1042
ENSMUSG00000028081	36991.519	35905.668	40614.433	25337.565	34945.68	35032.892	31814.252	20838.147	33456.835
ENSMUSG00000028082	2838	2539	2693	2001	2658	2468	2665	1810	2729
ENSMUSG00000028085	323	265	331.001	269.998	362.001	332.999	305.999	164	342
ENSMUSG00000028086	298	236	272	329	444	386	542	372	509.001
ENSMUSG00000028088	2	3	0	4	3	1	12	2	2
ENSMUSG00000028089	1006	950	1062	760	1023	899	926	684	913
ENSMUSG00000028093	128	154	142	139	190	174	190	122	185
ENSMUSG00000028096	1229	1104	1270.001	958.001	1344	1235	1440	974	1441
ENSMUSG00000028098	2440	2159	2618	1698	2017	1931	2028	1316	1938.999
ENSMUSG00000028099	2109	1818	2184	1461	1904	1724.999	1971.999	1254	1918
