Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ch_1A_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.6721771046702267)	(2.0, 1.3087255422815782)	(3.0, 0.6602122070387458)	(4.0, 0.4534713912407089)	(5.0, 0.36028638286393)	(6.0, 0.27953759214435)	(7.0, 0.2561334629853368)	(8.0, 0.21812468040076213)	(9.0, 0.18970296235565948)	('>10', 3.1817655753334937)	('>50', 1.6016732589298386)	('>100', 5.276188980727436)	('>500', 3.537030407580611)	('>1k', 15.042045525677198)	('>5k', 10.551096851068037)	('>10k+', 53.411828074702086)
ch_1A_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.610124331941876)	(2.0, 1.2318435030309942)	(3.0, 0.609991303835984)	(4.0, 0.3856971042296267)	(5.0, 0.29033343665767386)	(6.0, 0.22080623462093482)	(7.0, 0.1885170863242129)	(8.0, 0.1628067635554984)	(9.0, 0.1386179883236583)	('>10', 1.9844069461355813)	('>50', 0.933892271381979)	('>100', 3.2687378364409345)	('>500', 2.881709616722711)	('>1k', 18.57095555077643)	('>5k', 15.504905384463125)	('>10k+', 50.01665464155879)
ch_1B_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.450217452964452)	(2.0, 3.005641583338823)	(3.0, 1.4616276438861886)	(4.0, 0.886667506363885)	(5.0, 0.674679492421511)	(6.0, 0.5329588439406107)	(7.0, 0.45309372181331276)	(8.0, 0.41409281787136343)	(9.0, 0.35526841757561833)	('>10', 7.396394331922895)	('>50', 5.316448678044725)	('>100', 20.47243931345339)	('>500', 11.531130468500136)	('>1k', 30.00721669691668)	('>5k', 4.199075324400711)	('>10k+', 4.84304770658571)
ch_1B_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.569965892351854)	(2.0, 2.5731595239749288)	(3.0, 1.0565881447757444)	(4.0, 0.5756814441573097)	(5.0, 0.418357803310116)	(6.0, 0.3220756219428751)	(7.0, 0.2836780177653011)	(8.0, 0.2460541688356379)	(9.0, 0.20891391693591896)	('>10', 6.04167441449959)	('>50', 6.042158011529534)	('>100', 26.305937479659775)	('>500', 14.380047843610445)	('>1k', 23.947531484027625)	('>5k', 3.931934011664775)	('>10k+', 5.096242220958567)
ch_1B_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.3009298269812257)	(2.0, 1.4196056436537556)	(3.0, 0.8068714848840783)	(4.0, 0.5259118587886924)	(5.0, 0.39513146453783055)	(6.0, 0.3042970059727696)	(7.0, 0.25665295285677187)	(8.0, 0.21575377793649864)	(9.0, 0.1863706836765929)	('>10', 3.0004671866565564)	('>50', 1.5442180813475992)	('>100', 4.9712427650195155)	('>500', 3.1018330424343867)	('>1k', 13.205659803560199)	('>5k', 8.935944714617817)	('>10k+', 57.8291097070757)
ch_1B_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.645726385117017)	(2.0, 1.4794678440670908)	(3.0, 0.793579185554847)	(4.0, 0.5018187371430285)	(5.0, 0.3372457452245541)	(6.0, 0.24793259195418466)	(7.0, 0.21079077850459935)	(8.0, 0.17617675389938084)	(9.0, 0.15046000569214477)	('>10', 2.088399145029518)	('>50', 0.9679461921413397)	('>100', 3.310369534159351)	('>500', 2.568277731799831)	('>1k', 15.480337247083625)	('>5k', 10.802230086550765)	('>10k+', 57.23924203607873)
ch_1C_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 7.765266265689251)	(2.0, 2.501673255878479)	(3.0, 1.2020262534130455)	(4.0, 0.7854959575723464)	(5.0, 0.6409900691838928)	(6.0, 0.503505626782966)	(7.0, 0.5025996337523174)	(8.0, 0.4403126128952253)	(9.0, 0.3913889892402002)	('>10', 8.605574801615838)	('>50', 6.081817965615299)	('>100', 24.990572010024813)	('>500', 15.090219918483278)	('>1k', 26.681041756086294)	('>5k', 3.8175148837667567)	('>10k+', 0.0)
ch_1C_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 7.401736562141497)	(2.0, 1.8072295978863184)	(3.0, 0.7175464802737005)	(4.0, 0.46703940729935933)	(5.0, 0.3448435972906278)	(6.0, 0.3037341635249471)	(7.0, 0.25050707297434116)	(8.0, 0.24914808342836825)	(9.0, 0.2170985799691736)	('>10', 7.0266554474529705)	('>50', 7.878402145391497)	('>100', 33.32604763937854)	('>500', 16.49937882852836)	('>1k', 18.22699428884643)	('>5k', 3.99667500557752)	('>10k+', 1.286963100036353)
ch_1C_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.423283034021857)	(2.0, 1.201149760872148)	(3.0, 0.632372341510289)	(4.0, 0.4249789324592473)	(5.0, 0.3199350159315694)	(6.0, 0.25990112581347874)	(7.0, 0.23253802368401572)	(8.0, 0.19838608931478505)	(9.0, 0.17876364033395142)	('>10', 3.0016120585788104)	('>50', 1.5874946602006206)	('>100', 5.472627139022011)	('>500', 3.8781513068606612)	('>1k', 16.470730969855396)	('>5k', 10.980220798251308)	('>10k+', 51.737855103289846)
ch_1C_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.4094223232657006)	(2.0, 1.1527745493988635)	(3.0, 0.5536261910270446)	(4.0, 0.35673081979974236)	(5.0, 0.2520113512941157)	(6.0, 0.1935229930909311)	(7.0, 0.16417166582787526)	(8.0, 0.14362243974113184)	(9.0, 0.1322500377836468)	('>10', 1.870050103002228)	('>50', 0.9452580104871745)	('>100', 3.4496752983075925)	('>500', 3.194419929040654)	('>1k', 21.063621097085274)	('>5k', 16.015662021559823)	('>10k+', 47.10318116928821)
ch_1D_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 7.833782410996901)	(2.0, 2.440884235198989)	(3.0, 1.2167317893250018)	(4.0, 0.8254840698974669)	(5.0, 0.6294763831208211)	(6.0, 0.5450344292875402)	(7.0, 0.5069076077082709)	(8.0, 0.416580305577519)	(9.0, 0.4433202576247246)	('>10', 9.171419725128645)	('>50', 6.56011627401158)	('>100', 25.989442196923758)	('>500', 14.38430300843652)	('>1k', 25.975624422660125)	('>5k', 3.060892884102139)	('>10k+', 0.0)
ch_1D_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 7.2457593506669635)	(2.0, 1.7656044892413274)	(3.0, 0.7331096900980294)	(4.0, 0.4687807861290017)	(5.0, 0.3588783037914437)	(6.0, 0.31934411631495313)	(7.0, 0.28121729473568385)	(8.0, 0.24462578140792887)	(9.0, 0.27520400408391993)	('>10', 7.704048863743952)	('>50', 8.275183533307233)	('>100', 33.24185455001395)	('>500', 15.443281874918439)	('>1k', 18.37277796116182)	('>5k', 3.929621469750589)	('>10k+', 1.3407079306347733)
ch_1D_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.383099059424524)	(2.0, 1.2054324996857213)	(3.0, 0.6260506227153491)	(4.0, 0.4246123175392888)	(5.0, 0.3325930657931598)	(6.0, 0.26831776533169815)	(7.0, 0.22976021697680452)	(8.0, 0.20734693492292078)	(9.0, 0.1837881496038845)	('>10', 3.0973135271454058)	('>50', 1.6555024188590264)	('>100', 5.72705288996127)	('>500', 4.25077774562453)	('>1k', 17.233198521850543)	('>5k', 11.238980052870753)	('>10k+', 49.936174211695125)
ch_1D_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.314884824758225)	(2.0, 1.1035469083700944)	(3.0, 0.5523300445188594)	(4.0, 0.33632092401552255)	(5.0, 0.25398126235345986)	(6.0, 0.19661751515984968)	(7.0, 0.16790018491656206)	(8.0, 0.14240075249336823)	(9.0, 0.12917363988041394)	('>10', 1.9473423896388027)	('>50', 0.9822466761885726)	('>100', 3.6833782899900718)	('>500', 3.4759083579672225)	('>1k', 21.80643224342178)	('>5k', 15.7423772645742)	('>10k+', 46.16515872175299)
ch_2A_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.53579788857035)	(2.0, 2.970263331540023)	(3.0, 1.3974999669916963)	(4.0, 0.896874178546304)	(5.0, 0.7322491149164191)	(6.0, 0.5796726702154115)	(7.0, 0.525357812294821)	(8.0, 0.4675083649216977)	(9.0, 0.40718470493180126)	('>10', 9.014616939740154)	('>50', 6.474543139501525)	('>100', 25.22931041393844)	('>500', 14.89676288699715)	('>1k', 24.85429047302469)	('>5k', 3.018068113869508)	('>10k+', 0.0)
ch_2A_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.704923708947646)	(2.0, 2.336457343920345)	(3.0, 0.8990693474202348)	(4.0, 0.5076712162117901)	(5.0, 0.4181853912343663)	(6.0, 0.35162665344070076)	(7.0, 0.31197215060756783)	(8.0, 0.25828065562111346)	(9.0, 0.23792701699879748)	('>10', 7.416678754076576)	('>50', 7.680574206559018)	('>100', 35.82497742383762)	('>500', 16.01246484903215)	('>1k', 16.366781925968905)	('>5k', 2.67240935612317)	('>10k+', 0.0)
ch_2A_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.286838806292282)	(2.0, 1.5996250126725922)	(3.0, 0.82417412218595)	(4.0, 0.5452330918732141)	(5.0, 0.3972974165459627)	(6.0, 0.31792029625114365)	(7.0, 0.26720390828570983)	(8.0, 0.2380560810859098)	(9.0, 0.20958122269256144)	('>10', 3.4320784308923207)	('>50', 1.7072371086115627)	('>100', 5.867050412754208)	('>500', 4.093135799203145)	('>1k', 17.50893562559775)	('>5k', 11.152133525891902)	('>10k+', 47.553499139163776)
ch_2A_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.2796673959787555)	(2.0, 1.533780343673753)	(3.0, 0.7231625353108804)	(4.0, 0.4471454869399649)	(5.0, 0.31274978297249434)	(6.0, 0.24572397970572973)	(7.0, 0.19770480012771002)	(8.0, 0.1717011355202935)	(9.0, 0.14340353789932742)	('>10', 2.1143089738141994)	('>50', 1.02018623458636)	('>100', 4.0096285999009735)	('>500', 3.388877272138398)	('>1k', 23.262660823171636)	('>5k', 16.704307338227544)	('>10k+', 41.444991760031975)
ch_2B_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 7.538468544731739)	(2.0, 2.47848868981923)	(3.0, 1.1572709835731811)	(4.0, 0.7934807067925378)	(5.0, 0.6221670970714615)	(6.0, 0.5087170365290443)	(7.0, 0.46880190306783964)	(8.0, 0.38039925848933276)	(9.0, 0.3978119006032811)	('>10', 8.560054863217)	('>50', 6.042722587143577)	('>100', 23.756603409663214)	('>500', 14.27608949562273)	('>1k', 27.548541088477652)	('>5k', 5.470382435198182)	('>10k+', 0.0)
ch_2B_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 7.8067571766874195)	(2.0, 1.993345691844454)	(3.0, 0.8173226321485594)	(4.0, 0.4784458279309495)	(5.0, 0.329500766156253)	(6.0, 0.3174458600773657)	(7.0, 0.295345198932739)	(8.0, 0.2357403855426851)	(9.0, 0.2290432154988588)	('>10', 7.908688104754455)	('>50', 8.491074011765589)	('>100', 34.11551814665195)	('>500', 16.444499212412804)	('>1k', 17.26128607095786)	('>5k', 3.2759876986380636)	('>10k+', 0.0)
ch_2B_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 3.42918311069511)	(2.0, 1.2438660264574037)	(3.0, 0.6148075130343249)	(4.0, 0.397098213618091)	(5.0, 0.30013020920121525)	(6.0, 0.24407993165074418)	(7.0, 0.21201744215543308)	(8.0, 0.17221709010318179)	(9.0, 0.15450592898558285)	('>10', 2.8495130681642724)	('>50', 1.5442350152939706)	('>100', 5.343457631725423)	('>500', 4.2239202363357)	('>1k', 16.17059855401309)	('>5k', 10.71533621965064)	('>10k+', 52.38503380891581)
ch_2B_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 3.76665352107042)	(2.0, 1.2843980966539996)	(3.0, 0.6061276601341494)	(4.0, 0.37266304374795634)	(5.0, 0.2678049732765583)	(6.0, 0.20128727043643804)	(7.0, 0.1724747434903548)	(8.0, 0.14476258087735921)	(9.0, 0.13271172627656982)	('>10', 1.9059091080581876)	('>50', 0.9600410132411589)	('>100', 3.851902316867649)	('>500', 3.6100271227066334)	('>1k', 23.1179597008748)	('>5k', 16.16377828499075)	('>10k+', 43.44149883729702)
ch_2C_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.104546719764462)	(2.0, 2.6586953064791903)	(3.0, 1.2310181620284526)	(4.0, 0.8280497337566726)	(5.0, 0.6462411335024764)	(6.0, 0.509817227528438)	(7.0, 0.47533762804081925)	(8.0, 0.4233843956958074)	(9.0, 0.3652564236044972)	('>10', 8.121728450129293)	('>50', 5.610746306699128)	('>100', 23.362279316298235)	('>500', 15.409786339785708)	('>1k', 27.16854691929652)	('>5k', 4.084565937390302)	('>10k+', 0.0)
ch_2C_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.564857108562455)	(2.0, 2.0420694797726107)	(3.0, 0.8026040462088888)	(4.0, 0.4506108664766103)	(5.0, 0.3692330632000559)	(6.0, 0.26762042672439657)	(7.0, 0.2515909821454296)	(8.0, 0.24345131999714983)	(9.0, 0.22587455443701077)	('>10', 6.19987612660845)	('>50', 6.414557516907661)	('>100', 33.344261073316524)	('>500', 17.255399324151433)	('>1k', 19.905993059939362)	('>5k', 2.551866530228745)	('>10k+', 1.11013452132321)
ch_2C_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.1146914923156475)	(2.0, 1.490404780847162)	(3.0, 0.7604942523309421)	(4.0, 0.4923303099482559)	(5.0, 0.3834724476411929)	(6.0, 0.29202681898823896)	(7.0, 0.24495637880413285)	(8.0, 0.22583132238232062)	(9.0, 0.1940197516229952)	('>10', 3.1626989619970467)	('>50', 1.5597941876864096)	('>100', 5.203602309832084)	('>500', 3.5016090204900383)	('>1k', 15.42371833981903)	('>5k', 10.875460577241656)	('>10k+', 52.07488904805285)
ch_2C_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.115955209076172)	(2.0, 1.4146473522810687)	(3.0, 0.6682173018850245)	(4.0, 0.4137059572880567)	(5.0, 0.2915647292849176)	(6.0, 0.23596928161789227)	(7.0, 0.1876753409761614)	(8.0, 0.16242246119179718)	(9.0, 0.14295662079920232)	('>10', 1.9651131414889598)	('>50', 0.8735865836321287)	('>100', 3.2420518855091505)	('>500', 2.7757226694547064)	('>1k', 18.80086197748892)	('>5k', 16.368268294046622)	('>10k+', 48.34128119397921)
ch_2D_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.679578783386683)	(2.0, 2.7897841236840133)	(3.0, 1.3368839575287208)	(4.0, 0.8625231025683358)	(5.0, 0.6801863075646222)	(6.0, 0.5519428474925423)	(7.0, 0.5249007182508239)	(8.0, 0.46384927363087425)	(9.0, 0.41236294896105213)	('>10', 9.32611003927493)	('>50', 6.4605890428577215)	('>100', 26.075579775153134)	('>500', 14.515364744070029)	('>1k', 24.615186708199715)	('>5k', 2.7051576273767997)	('>10k+', 0.0)
ch_2D_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.37618284022626)	(2.0, 1.9783021139873243)	(3.0, 0.7760489171615359)	(4.0, 0.47084530123878837)	(5.0, 0.351841735830881)	(6.0, 0.32493964651359497)	(7.0, 0.2845277743513836)	(8.0, 0.2857025380770292)	(9.0, 0.26009268885795345)	('>10', 7.6708546993485935)	('>50', 8.257766656681174)	('>100', 36.08874165183528)	('>500', 16.70243822211258)	('>1k', 14.824460930295395)	('>5k', 3.3472542834822345)	('>10k+', 0.0)
ch_2D_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.308135538301019)	(2.0, 1.4529726300486885)	(3.0, 0.7554300463091993)	(4.0, 0.4936714476397293)	(5.0, 0.3642474733522893)	(6.0, 0.29785303534750424)	(7.0, 0.2608939171253622)	(8.0, 0.22110323789034902)	(9.0, 0.2048260831816056)	('>10', 3.3580118441191615)	('>50', 1.7212268939809747)	('>100', 5.926123664969005)	('>500', 4.265152901092544)	('>1k', 17.8243411395806)	('>5k', 11.598526374288006)	('>10k+', 46.94748377277397)
ch_2D_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.166211118909155)	(2.0, 1.3438977150779725)	(3.0, 0.6360440758007289)	(4.0, 0.3889109903180715)	(5.0, 0.2774028528160164)	(6.0, 0.22242919594236024)	(7.0, 0.17950691701866345)	(8.0, 0.1662893036131825)	(9.0, 0.12697657871020507)	('>10', 1.9512567637804912)	('>50', 0.9386054204252217)	('>100', 3.910807209926967)	('>500', 3.519795506840504)	('>1k', 24.137935302340686)	('>5k', 16.599413779947163)	('>10k+', 41.43451726853263)
ch_3A_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 10.367806279823304)	(2.0, 2.985212824751604)	(3.0, 1.336659779710335)	(4.0, 0.8638705950162325)	(5.0, 0.6830075476973154)	(6.0, 0.5656793939271961)	(7.0, 0.49850094796379296)	(8.0, 0.4251618561077088)	(9.0, 0.3875863360822852)	('>10', 8.073902627086776)	('>50', 5.839609917277276)	('>100', 22.77956160274869)	('>500', 14.912823506435616)	('>1k', 25.928385915673058)	('>5k', 4.352230869698802)	('>10k+', 0.0)
ch_3A_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 9.937715107612528)	(2.0, 2.3514218707756362)	(3.0, 0.8778942393837296)	(4.0, 0.47376280735591864)	(5.0, 0.364098417818218)	(6.0, 0.29847285675839735)	(7.0, 0.26629508849083455)	(8.0, 0.2629168295485862)	(9.0, 0.22248282733666802)	('>10', 6.506041749274089)	('>50', 6.740309842658306)	('>100', 32.97910282305963)	('>500', 15.845625554029349)	('>1k', 19.272934224930562)	('>5k', 2.5259753561914637)	('>10k+', 1.0749504047760892)
ch_3A_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.880321667314348)	(2.0, 1.8209109409698692)	(3.0, 0.9220202155835963)	(4.0, 0.5930513952986313)	(5.0, 0.4507218740781863)	(6.0, 0.3413666521578191)	(7.0, 0.3020510831919562)	(8.0, 0.25528109360973544)	(9.0, 0.23176557808471696)	('>10', 3.49852752401675)	('>50', 1.6613946520780334)	('>100', 5.476688633235722)	('>500', 3.5843095377815395)	('>1k', 15.609899893282748)	('>5k', 10.289961302971363)	('>10k+', 50.081727956345)
ch_3A_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.996671070874234)	(2.0, 1.7646082303141273)	(3.0, 0.8501495785063385)	(4.0, 0.49027498253506097)	(5.0, 0.33685047089469133)	(6.0, 0.2703800112162899)	(7.0, 0.2308191468802923)	(8.0, 0.1818945297098768)	(9.0, 0.17105670094874215)	('>10', 2.1353216074935997)	('>50', 0.9379697048332845)	('>100', 3.488360745187416)	('>500', 2.905587101178265)	('>1k', 19.252232164457993)	('>5k', 15.911780634427238)	('>10k+', 46.07604332054255)
ch_3B_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.839994250395863)	(2.0, 2.681627111571725)	(3.0, 1.2657853051618289)	(4.0, 0.7927006869325425)	(5.0, 0.5865089280583633)	(6.0, 0.47005067145305973)	(7.0, 0.4163665693142113)	(8.0, 0.3647443021908965)	(9.0, 0.3424675389366172)	('>10', 6.700563255806716)	('>50', 4.786289149177916)	('>100', 19.31579967288902)	('>500', 13.127804163044528)	('>1k', 30.777229222872055)	('>5k', 7.122940964759353)	('>10k+', 2.4091282074353018)
ch_3B_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 8.484598166841733)	(2.0, 2.189816064386798)	(3.0, 0.8108335849305894)	(4.0, 0.46041947107579595)	(5.0, 0.3101352735178435)	(6.0, 0.2624359844840037)	(7.0, 0.22102039888521877)	(8.0, 0.20381212696592238)	(9.0, 0.18359857231294405)	('>10', 4.900502425057998)	('>50', 4.511759373740802)	('>100', 26.94016979370924)	('>500', 16.59117411526017)	('>1k', 28.29476528642907)	('>5k', 2.907908992420766)	('>10k+', 2.7270503699811024)
ch_3B_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.039591365599593)	(2.0, 1.5459423413351858)	(3.0, 0.8232715186827358)	(4.0, 0.5296758136449569)	(5.0, 0.3941233608173503)	(6.0, 0.3168816908766423)	(7.0, 0.26379457357158037)	(8.0, 0.22586145667221127)	(9.0, 0.19228608720965934)	('>10', 3.079209967682069)	('>50', 1.5000451367058436)	('>100', 4.654376749205069)	('>500', 2.8824241837808633)	('>1k', 12.779893137811898)	('>5k', 9.559689571850233)	('>10k+', 57.212933044554106)
ch_3B_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.024233299105491)	(2.0, 1.5574320308593008)	(3.0, 0.7315991760768291)	(4.0, 0.45300755118331215)	(5.0, 0.3220389815731019)	(6.0, 0.24528612869946306)	(7.0, 0.19926879810462225)	(8.0, 0.1746705844941218)	(9.0, 0.146617137407543)	('>10', 1.9971483688581233)	('>50', 0.8143585134532219)	('>100', 2.7938301085509982)	('>500', 2.285312243450571)	('>1k', 13.679616531927572)	('>5k', 14.017300956926833)	('>10k+', 56.558279589328905)
ch_3C_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 9.528443348594443)	(2.0, 2.8613429845308107)	(3.0, 1.3220106641773068)	(4.0, 0.8634137971456197)	(5.0, 0.6548277394558716)	(6.0, 0.5468423401733387)	(7.0, 0.4715823316047303)	(8.0, 0.42606853627100044)	(9.0, 0.4363595342835221)	('>10', 8.534207949744907)	('>50', 5.8789182769882835)	('>100', 23.402472129815397)	('>500', 14.90539664712598)	('>1k', 26.552047985462107)	('>5k', 3.6160657346266873)	('>10k+', 0.0)
ch_3C_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 9.042234583880816)	(2.0, 2.246461982924095)	(3.0, 0.8468124865060171)	(4.0, 0.5002032893306979)	(5.0, 0.3597662825989038)	(6.0, 0.3166367164670176)	(7.0, 0.2789115922828615)	(8.0, 0.26280423588962637)	(9.0, 0.23175518705266648)	('>10', 6.912811098396728)	('>50', 7.383527395099035)	('>100', 33.320609966205865)	('>500', 15.584715066054667)	('>1k', 18.8564158639806)	('>5k', 2.7281834891042056)	('>10k+', 1.1281507642261945)
ch_3C_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.331950694579929)	(2.0, 1.6095300032532864)	(3.0, 0.8135828659850353)	(4.0, 0.5274949348072605)	(5.0, 0.3908768494491987)	(6.0, 0.3141184560217051)	(7.0, 0.2730026373868275)	(8.0, 0.23596738675403903)	(9.0, 0.19262483135879363)	('>10', 3.2179330017402843)	('>50', 1.6166471715636548)	('>100', 5.524175027547905)	('>500', 3.8097505328662433)	('>1k', 16.182019425255834)	('>5k', 10.243499427211153)	('>10k+', 50.71682675421884)
ch_3C_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.396336633492468)	(2.0, 1.5338588383525529)	(3.0, 0.7474322588011567)	(4.0, 0.43911965360833255)	(5.0, 0.3145246655436952)	(6.0, 0.23148027930661855)	(7.0, 0.19520429221668334)	(8.0, 0.16528869255446466)	(9.0, 0.1392368031331681)	('>10', 1.9712636470750653)	('>50', 0.926209956914478)	('>100', 3.6037055208916633)	('>500', 3.130893245149495)	('>1k', 20.440819274269767)	('>5k', 15.065766550899548)	('>10k+', 46.69885968779086)
ch_3D_CKDL260002520-1A_2372W3LT4_L5_1	(1.0, 8.870090255500966)	(2.0, 2.686115352610689)	(3.0, 1.2359628650901688)	(4.0, 0.8248041751554133)	(5.0, 0.6122639958346779)	(6.0, 0.521930444926621)	(7.0, 0.463845258972401)	(8.0, 0.4043881843436556)	(9.0, 0.38466925555264064)	('>10', 8.248718191928704)	('>50', 5.761130281703822)	('>100', 22.997175678499804)	('>500', 14.981381076909637)	('>1k', 26.979298237347244)	('>5k', 5.028226745623562)	('>10k+', 0.0)
ch_3D_CKDL260002520-1A_2372W3LT4_L5_2	(1.0, 7.827650275229479)	(2.0, 2.1366409985102983)	(3.0, 0.8087094842066739)	(4.0, 0.476626420661631)	(5.0, 0.34237862971156724)	(6.0, 0.30829159433059183)	(7.0, 0.24846331689200668)	(8.0, 0.26384773109049997)	(9.0, 0.22805131635413645)	('>10', 6.567133828220902)	('>50', 6.7139393493307065)	('>100', 32.90344100495931)	('>500', 15.894412556759724)	('>1k', 20.765339305801646)	('>5k', 3.3627513989556372)	('>10k+', 1.1523227889851868)
ch_3D_CKDL260002520-1A_23757VLT4_L4_1	(1.0, 4.114839687914523)	(2.0, 1.4886354254518315)	(3.0, 0.7730599131713995)	(4.0, 0.49155535810211004)	(5.0, 0.3655447632424962)	(6.0, 0.31134080984875684)	(7.0, 0.25276384248334327)	(8.0, 0.21733871973860186)	(9.0, 0.19470084909647362)	('>10', 3.146255404639433)	('>50', 1.5665890651946832)	('>100', 5.252436177834496)	('>500', 3.629515613885536)	('>1k', 15.383916165561859)	('>5k', 10.085225004974069)	('>10k+', 52.72628319886038)
ch_3D_CKDL260002520-1A_23757VLT4_L4_2	(1.0, 4.097854081666967)	(2.0, 1.4173956858530223)	(3.0, 0.6712044348785637)	(4.0, 0.40910694378085116)	(5.0, 0.2926788568992966)	(6.0, 0.23331920303168263)	(7.0, 0.18441557128778288)	(8.0, 0.16423060630070566)	(9.0, 0.1375552280477668)	('>10', 1.942504420542051)	('>50', 0.9081352384819753)	('>100', 3.4606565959407845)	('>500', 2.9760813990100057)	('>1k', 18.738701053774754)	('>5k', 15.16971385616549)	('>10k+', 49.196446824338274)
