Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ch_3B_CKDL260002520-1A_2372W3LT4_L5_2	ch_3B_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1549981.0	232.4 Mbp	0.0	150.0	60.0	10.58431233922694	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3B_CKDL260002520-1A_23757VLT4_L4_1	ch_3B_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39352993.0	5.9 Gbp	0.0	150.0	60.0	5.6499493610039835	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_3B_CKDL260002520-1A_23757VLT4_L4_2	ch_3B_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39352993.0	5.9 Gbp	0.0	150.0	60.0	5.473346327890303	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3C_CKDL260002520-1A_2372W3LT4_L5_1	ch_3C_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	944288.0	141.6 Mbp	0.0	150.0	61.0	12.623997916168012	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_3C_CKDL260002520-1A_2372W3LT4_L5_2	ch_3C_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	944288.0	141.6 Mbp	0.0	150.0	60.0	11.383983365920187	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3C_CKDL260002520-1A_23757VLT4_L4_1	ch_3C_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24832151.0	3.7 Gbp	0.0	150.0	60.0	5.983616805690952	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_3C_CKDL260002520-1A_23757VLT4_L4_2	ch_3C_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24832151.0	3.7 Gbp	0.0	150.0	60.0	5.835261783153705	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3D_CKDL260002520-1A_2372W3LT4_L5_1	ch_3D_CKDL260002520-1A_2372W3LT4_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1000546.0	150 Mbp	0.0	150.0	61.0	11.801808339977486	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
ch_3D_CKDL260002520-1A_2372W3LT4_L5_2	ch_3D_CKDL260002520-1A_2372W3LT4_L5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1000546.0	150 Mbp	0.0	150.0	60.0	10.060453779884785	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
ch_3D_CKDL260002520-1A_23757VLT4_L4_1	ch_3D_CKDL260002520-1A_23757VLT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26332979.0	3.9 Gbp	0.0	150.0	60.0	5.667059848679128	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
ch_3D_CKDL260002520-1A_23757VLT4_L4_2	ch_3D_CKDL260002520-1A_23757VLT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26332979.0	3.9 Gbp	0.0	150.0	60.0	5.436708841068182	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
